sd1	laest_info	rosiner	karakter	optage	R	afl_opg	oevelser	konc	studie	madvaner	hojde	synspunkter	arbejde	renovere_bolig	haekle	klatre	kantarel	rulleski	fodbold
ja lidt	Ja en del af informationen	Med	Det ønsker jeg ikke at svare på	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	37.5	bioteknologi	Jeg spiser både grønt, fisk og kød	165	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge	7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Det har jeg ingen mening om	2	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	164	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	15	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja meget	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	naturressourcer	Jeg spiser både grønt, fisk og kød	188	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde	20	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	NA	bioteknologi	Jeg spiser både grønt, fisk og kød	179	Der bør være lavere skat på arbejde	15	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	naturressourcer	Jeg spiser både grønt og fisk men ikke kød	174	Der bør være højere skat på flyrejser,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	NA	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	199	Det skal være gratis at gå til tandlæge	3	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja meget	Nej slet ikke	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	180	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	0	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Det har jeg ingen mening om	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	170	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	120	bioteknologi	Jeg spiser både grønt, fisk og kød	189	NA	0	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
ja meget	Ja det hele	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	naturressourcer	Jeg er veganer eller vegetar	169	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	8	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Nej slet ikke	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	naturressourcer	Ingen af ovenstående	175	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	7	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Ja det hele	Uden	7	nej det er lige meget	Jeg har aldrig brugt R	Ja	Hver gang	37.5	husdyrvidenskab	Jeg er veganer eller vegetar	163	NA	8	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja lidt	Ja en del af informationen	Med	2	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	60	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	164	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	10	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja lidt	Ja en del af informationen	Det har jeg ingen mening om	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	42.5	jordbrugsøkonomi	Jeg ønsker ikke at svare	170	NA	18	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
ja lidt	Ja en del af informationen	Uden	10	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	50	naturressourcer	Jeg er veganer eller vegetar	176	Der bør være højere skat på flyrejser,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	15	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Nej slet ikke	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	175	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	10	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	173	NA	NA	NA	NA	NA	NA	NA	NA
ja lidt	Ja det hele	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	172	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	10	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ja lidt	Nej slet ikke	Med	2	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	60	husdyrvidenskab	Ingen af ovenstående	169	Der bør være højere skat på flyrejser	9.5	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ja meget	Ja det hele	Uden	12	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	55	naturressourcer	Jeg spiser både grønt, fisk og kød	164	Der bør være højere skat på flyrejser,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	1.5	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	50	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	163	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
ja lidt	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	33	bioteknologi	Jeg er veganer eller vegetar	192	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	2	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Nej slet ikke	Det har jeg ingen mening om	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	55	bioteknologi	Jeg spiser både grønt, fisk og kød	192	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der stilles større krav til unge mennesker idag end før i tiden	10.5	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	165	NA	15	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Med	10	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	naturressourcer	Jeg er veganer eller vegetar	180	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	8	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	50	bioteknologi	Jeg spiser både grønt, fisk og kød	195	Der bør være lavere skat på arbejde	15	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Med	2	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	35	bioteknologi	Jeg spiser både grønt, fisk og kød	168.6	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	NA	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
ja lidt	Ja det hele	Med	10	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	25	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	170	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Med	Det ønsker jeg ikke at svare på	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	NA	bioteknologi	Jeg spiser både grønt, fisk og kød	155	Det skal være gratis at gå til tandlæge	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ja lidt	Nej slet ikke	Uden	2	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Næsten hver gang	5	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	164	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	10	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Med	Det ønsker jeg ikke at svare på	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	bioteknologi	Jeg spiser både grønt, fisk og kød	178	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
ja meget	Ja det hele	Med	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	174	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ja lidt	Ja en del af informationen	Med	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	42.5	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	161.8	Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	60	bioteknologi	Jeg spiser både grønt, fisk og kød	183	Der bør være lavere skat på arbejde,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
nej	Ja en del af informationen	Uden	2	ja men jeg vil ikke se ret mange af videoerne	Jeg har aldrig brugt R	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	159	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	15	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	Det ønsker jeg ikke at svare på	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	30	bioteknologi	Jeg spiser både grønt og fisk men ikke kød	170	Det skal være gratis at gå til tandlæge	0	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	45	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	NA	Der bør være lavere skat på arbejde,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Der stilles større krav til unge mennesker idag end før i tiden	15	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
ja meget	Ja en del af informationen	Det har jeg ingen mening om	10	ja det vil være en stor fordel for mig	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Det ved jeg ikke	Hver gang	40	andet	Jeg spiser både grønt, fisk og kød	163	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	10	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ja lidt	Ja en del af informationen	Uden	7	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Hver gang	50	naturressourcer	Jeg spiser både grønt, fisk og kød	191	Det skal være gratis at gå til tandlæge	10	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
nej	Ja det hele	Uden	2	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	163	Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	20	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	164	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	15	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja det hele	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	40	bioteknologi	Jeg spiser både grønt, fisk og kød	170	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	32.5	bioteknologi	Jeg spiser både grønt, fisk og kød	184	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	160	Der bør være højere skat på flyrejser,Der bør være lavere skat på arbejde,Det skal være gratis at gå til tandlæge	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	Det ønsker jeg ikke at svare på	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	196	Der bør være lavere skat på arbejde	15	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	Det ønsker jeg ikke at svare på	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	40	bioteknologi	Jeg spiser både grønt, fisk og kød	178	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ja lidt	Nej slet ikke	Med	2	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Det ved jeg ikke	Hver gang	15	bioteknologi	Jeg spiser både grønt, fisk og kød	NA	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
ja meget	Ja det hele	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	45	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	178	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav	20	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Med	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	60	bioteknologi	Jeg spiser både grønt, fisk og kød	183	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
ja lidt	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	42.5	husdyrvidenskab	Jeg spiser både grønt, fisk og kød	161	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	12.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	35	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	164	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	10	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	4	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Hver gang	30	naturressourcer	Jeg spiser både grønt, fisk og kød	181	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Hver gang	50	naturressourcer	Jeg spiser både grønt og fisk men ikke kød	173	Der bør være højere skat på flyrejser	0	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	4	nej det er lige meget	Jeg kan lave nogle simple beregninger i R	Ja	Under 5 gange ialt	52.5	husdyrvidenskab	Ingen af ovenstående	168	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Nej	Hver gang	60	naturressourcer	Jeg spiser både grønt, fisk og kød	168	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Det ved jeg ikke	Næsten hver gang	45	bioteknologi	Jeg spiser både grønt, fisk og kød	180	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	40	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	189	Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	0	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
ja meget	Ja en del af informationen	Uden	10	ja men jeg vil ikke se ret mange af videoerne	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	35	jordbrugsøkonomi	Jeg spiser både grønt, fisk og kød	170	Der bør være højere skat på flyrejser,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner,Der stilles større krav til unge mennesker idag end før i tiden	0	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
ja lidt	Ja det hele	Det har jeg ingen mening om	4	ja det vil være en stor fordel for mig	Jeg kan lave nogle simple beregninger i R	Ja	Næsten hver gang	25	bioteknologi	Jeg spiser både grønt, fisk og kød	170	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	12	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
ja meget	Ja en del af informationen	Med	7	ja men jeg vil ikke se ret mange af videoerne	Jeg har styr på det meste fra tidligere kurser hvor jeg har brugt R	Ja	Hver gang	40	naturressourcer	Jeg spiser både grønt, fisk og kød	173	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge	10	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
hverken ja eller nej	Ja en del af informationen	Uden	2	ja men jeg vil ikke se ret mange af videoerne	Jeg har brugt R før men kan intet huske	Ja	Næsten hver gang	45	husdyrvidenskab	Jeg spiser både grønt og fisk men ikke kød	168	Det skal være gratis at gå til tandlæge,Der stilles større krav til unge mennesker idag end før i tiden	14	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
ja meget	Ja en del af informationen	Uden	4	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	35	jordbrugsøkonomi	Jeg spiser både grønt og fisk men ikke kød	165	Der bør være højere skat på flyrejser,Ingen uddannelser må have et karakterkrav (gennemsnit) på over 9 som optagelseskrav,Det skal være gratis at gå til tandlæge,Der bør ikke serveres kød på offentlige arbejdspladser og institutioner	15	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
ja lidt	Ja en del af informationen	Uden	7	ja det vil være en stor fordel for mig	Jeg har brugt R før men kan intet huske	Ja	Hver gang	45	husdyrvidenskab	Jeg spiser både grønt og fisk men ikke kød	160	Det skal være gratis at gå til tandlæge	4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
